timestamp_utc,host,source,image,model_path,text_only_control,context,max_num_seqs,max_num_batched_tokens,gpu_memory_utilization,kv_cache_dtype,enforce_eager,prefix_caching,prefix_hit_rate,status,oom_killed,http_200,http_error,token_ids,logprobs,repeat_requests,clean_stop,prompt_tps,generation_tps,p50_latency_s,p95_latency_s,memory_available_before_gib,memory_available_after_load_gib,memory_available_after_test_gib,notes
2026-07-09T02:04:41Z,spark-f7e2,historical,vllm/vllm-openai:v0.24.0-aarch64,/home/jarrodbarnes/models/Qwen/Qwen3.5-9B,none,65536,32,12288,0.70,fp8,false,false,0.0,proxy,false,1068,12,unknown,unknown,true,false,unknown,unknown,unknown,unknown,95.64,unknown,unknown,"Served for hours; Docker OOMKilled=false; exit 255 at reboot; excluded from baseline because FP8 KV and no text-only control"
2026-07-09T00:32:48Z,spark-cfd0,historical,vllm/vllm-openai:v0.24.0-aarch64,/home/jarrodbarnes/models/Qwen/Qwen3.5-9B,none,65536,64,12288,0.88,fp8,false,false,0.0,proxy,false,258,2,unknown,unknown,true,false,unknown,unknown,unknown,unknown,95.65,unknown,unknown,"Served for hours; Docker OOMKilled=false; exit 255 at reboot; excluded from baseline because FP8 KV, high utilization, and no text-only control"
2026-07-10T15:29:30Z,spark-f7e2,live,vllm/vllm-openai:v0.24.0-aarch64,/home/jarrodbarnes/models/Qwen/Qwen3.5-9B,--language-model-only,4096,1,4096,0.35,auto,false,false,0.0,keep,false,11,1,true,true,10,true,unknown,13.466,1.187398,1.190621,117.25,74.56,74.56,"Image request intentionally returned HTTP 400; first request returned 32 token IDs and aligned logprobs; no errors; exit 0; memory restored to 117.17 GiB"
2026-07-10T15:38:00Z,spark-f7e2,live,vllm/vllm-openai:v0.24.0-aarch64,/home/jarrodbarnes/models/Qwen/Qwen3.5-9B,--language-model-only,8192,1,4096,0.35,auto,false,false,0.0,keep,false,3,0,true,true,3,true,unknown,13.445,1.190000,1.190000,unknown,unknown,unknown,"One-axis context ladder; three repeated token-ID/logprob completions; no errors; exit 0"
2026-07-10T15:40:00Z,spark-f7e2,live,vllm/vllm-openai:v0.24.0-aarch64,/home/jarrodbarnes/models/Qwen/Qwen3.5-9B,--language-model-only,16384,1,4096,0.35,auto,false,false,0.0,keep,false,3,0,true,true,3,true,unknown,13.371,1.196641,1.196641,unknown,unknown,unknown,"One-axis context ladder; three repeated token-ID/logprob completions; no errors; exit 0"
2026-07-10T15:43:00Z,spark-f7e2,live,vllm/vllm-openai:v0.24.0-aarch64,/home/jarrodbarnes/models/Qwen/Qwen3.5-9B,--language-model-only,32768,1,4096,0.35,auto,false,false,0.0,keep,false,3,0,true,true,3,true,unknown,13.405,1.193600,1.193600,unknown,unknown,unknown,"One-axis context ladder; three repeated token-ID/logprob completions; no errors; exit 0"
2026-07-10T15:46:00Z,spark-f7e2,live,vllm/vllm-openai:v0.24.0-aarch64,/home/jarrodbarnes/models/Qwen/Qwen3.5-9B,--language-model-only,65536,1,4096,0.35,auto,false,false,0.0,keep,false,3,0,true,true,3,true,unknown,13.272,1.205500,1.205500,unknown,unknown,unknown,"64K safety gate only; cannot satisfy the 131K environment contract; no errors; exit 0"
2026-07-10T15:50:00Z,spark-f7e2,live,vllm/vllm-openai:v0.24.0-aarch64,/home/jarrodbarnes/models/Qwen/Qwen3.5-9B,--language-model-only,131072,1,4096,0.35,auto,false,false,0.0,keep,false,1,0,true,true,1,true,3188.0,0.785,20.389147,20.389147,unknown,unknown,unknown,"Hard contract fit proof: exact 65000-token raw prompt plus 16 generated token IDs/logprobs; 670963-token KV capacity; no errors; exit 0"
2026-07-10T15:54:00Z,spark-f7e2,live,vllm/vllm-openai:v0.24.0-aarch64,/home/jarrodbarnes/models/Qwen/Qwen3.5-9B,--language-model-only,131072,1,4096,0.35,auto,false,true,0.870,keep,false,10,0,true,true,8,true,unknown,4.252,1.373424,1.375048,unknown,unknown,unknown,"Prefix align: deterministic 2048-token cold/warm parity had identical token IDs and max abs logprob delta 0; k8 65K-prefix group wall 30.101513s; 5.444x amortization versus eight cold requests"
2026-07-10T15:59:00Z,spark-f7e2,live,vllm/vllm-openai:v0.24.0-aarch64,/home/jarrodbarnes/models/Qwen/Qwen3.5-9B,--language-model-only,131072,2,4096,0.35,auto,false,true,0.874,keep,false,8,0,true,true,8,true,unknown,14.089,unknown,unknown,unknown,unknown,unknown,"k8 65K-prefix max256 group: cold 57.735758s; group wall 145.357229s; clean stop"
